year,price,mileage,mpg,engineSize,Automatic,Manual,Semi-Auto,Diesel,Electric,Hybrid,Other,Petrol
0.328125,0.1521651376146789,0.08787849788620998,0.24806629834254146,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.34375,0.21570642201834864,0.050207438514323674,0.21049723756906075,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.328125,0.2903669724770642,0.13961709721182372,0.2171270718232044,0.4,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.359375,0.2320183486238532,3.377560613139836e-05,0.1541436464088398,0.22000000000000003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.34375,0.18341284403669725,0.24215983742674915,0.1541436464088398,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.3125,0.24541284403669725,0.2342113114504934,0.1850828729281768,0.4,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.328125,0.26541284403669724,0.1325861418688043,0.1143646408839779,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.359375,0.2393577981651376,0.03896579094025658,0.21049723756906075,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.359375,0.32064220183486236,0.06183187629121328,0.2955801104972376,0.3,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.328125,0.16211009174311927,0.16671639186458234,0.2657458563535912,0.3,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.3125,0.1010091743119266,0.2680206931880232,0.24806629834254146,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.359375,0.1559633027522936,0.028827479833148505,0.12541436464088399,0.24,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.359375,0.14678899082568808,0.00017450729834555823,0.1541436464088398,0.24,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.3125,0.10825688073394496,0.17766531751884398,0.1850828729281768,0.24,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.359375,0.25688073394495414,0.045765946308044786,0.21049723756906075,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.34375,0.3577981651376147,0.13829421930501062,0.060220994475138116,0.4,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.328125,0.3302752293577982,0.2229415175379835,0.1850828729281768,0.4,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.359375,0.3211009174311927,0.06470843208007071,0.2033149171270718,0.4,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
