year scaled,price scaled,mileage scaled,engineSize scaled,Automatic scaled,Manual scaled,Semi-Auto scaled,Diesel scaled,Electric scaled,Hybrid scaled,Petrol scaled,mpg scaled * 7.0
0.9583333333333428,0.5629715950473416,0.023172338889661522,0.125,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.615537848605578
0.9166666666666714,0.4461762563729061,0.06281498552970549,0.125,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.9462151394422316
0.875,0.3881427530954115,0.032152530811462326,0.125,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.615537848605578
0.9583333333333428,0.5629715950473416,0.023172338889661522,0.125,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.615537848605578
0.9166666666666714,0.4461762563729061,0.06281498552970549,0.125,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.9462151394422316
0.9166666666666714,0.45514930808448656,0.07087464155391757,0.125,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.9462151394422316
0.875,0.4172760378732702,0.08447738064490493,0.125,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.9462151394422316
0.8333333333333428,0.3127458120903132,0.314882880019073,0.125,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.005976095617529
0.9583333333333428,0.5046758922068464,0.007569586553553335,0.125,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.615537848605578
0.9583333333333428,0.5193008011653314,0.003582805184140292,0.125,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.615537848605578
0.8333333333333428,0.3590677348871085,0.19204762945449969,0.125,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.9462151394422316
0.9583333333333428,0.4172760378732702,0.07615282220412055,0.125,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.5099601593625493
0.9166666666666714,0.33861616897305175,0.169173305783482,0.125,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.615537848605578
0.8333333333333428,0.3238164603058995,0.19480261458685155,0.125,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.005976095617529
0.9583333333333428,0.461034231609614,0.040185696594017176,0.125,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.615537848605578
0.875,0.33861616897305175,0.115504076185935,0.125,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.005976095617529
0.875,0.4172760378732702,0.12058358002370877,0.125,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.9462151394422316
0.8333333333333428,0.3880553532410779,0.19867018986880708,0.125,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.615537848605578
0.875,0.40853605243991264,0.09801389413174921,0.125,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.005976095617529
0.9583333333333428,0.47356154406409323,0.10129868409724567,0.125,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.615537848605578
0.8333333333333428,0.33450837581937365,0.29951853985787985,0.125,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.9462151394422316
0.875,0.4464384559359068,0.16365009039794964,0.125,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.005976095617529
0.875,0.38820101966496723,0.13325253809627877,0.125,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.005976095617529
0.8333333333333428,0.4027676620538966,0.12224584268769992,0.125,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.9462151394422316
0.8333333333333428,0.38820101966496723,0.14288174093868172,0.125,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.9462151394422316
0.7916666666666714,0.25680990531682446,0.6249114232544587,0.15000000000000002,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.2669322709163335
0.9583333333333428,0.5338674435542607,0.028364426254478506,0.125,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.615537848605578
0.8333333333333428,0.37334304442825933,0.09011317955748051,0.125,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.005976095617529
0.8333333333333428,0.37310997815003644,0.14477579321717363,0.125,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.005976095617529
0.875,0.3648943918426803,0.2615447784422414,0.125,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.005976095617529
0.875,0.3445010924981792,0.34552546705607323,0.125,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.005976095617529
0.9166666666666714,0.4842825928623452,0.055318247140709535,0.125,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.9462151394422316
0.9583333333333428,0.5193008011653314,0.0025761760011655706,0.125,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.615537848605578
0.8333333333333428,0.3375091041514931,0.30244571156100375,0.125,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.9462151394422316
0.875,0.35178441369264385,0.0981728355816926,0.125,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.615537848605578
0.9166666666666714,0.4144209759650401,0.12073589891323783,0.125,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.005976095617529
0.9583333333333428,0.5484340859431901,0.026099510592785383,0.125,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.9462151394422316
0.9583333333333428,0.5484340859431901,0.03700686759514964,0.125,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.615537848605578
1.0,0.5877640203932993,0.003973536248584428,0.125,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.615537848605578
0.8333333333333428,0.3736343772760379,0.2965847455943417,0.125,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.9462151394422316
0.7916666666666714,0.3648943918426803,0.09323240551261928,0.125,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.9462151394422316
0.9583333333333428,0.44646758922068464,0.10094768839528738,0.125,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.615537848605578
0.875,0.3736343772760379,0.12902072199153636,0.125,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.005976095617529
