year scaled,price scaled,mileage scaled,engineSize scaled,Automatic scaled,Manual scaled,Semi-Auto scaled,Diesel scaled,Electric scaled,Hybrid scaled,Petrol scaled,mpg scaled * 7.0
0.875,0.21110091743119264,0.08974741475881401,0.2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4270718232044197
0.9166666666666714,0.24779816513761463,0.05112500914755999,0.2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.4270718232044197
0.875,0.22944954128440365,0.07011252906109443,0.2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.4270718232044197
0.9583333333333428,0.3120183486238532,0.058876510754715915,0.30000000000000004,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.7541436464088395
0.9583333333333428,0.2936697247706422,0.00833694544676683,0.2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0790055248618784
0.7916666666666714,0.18357798165137612,0.1994505834735959,0.32000000000000006,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0480662983425413
0.9583333333333428,0.40376146788990824,0.011416154872412649,0.2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.1447513812154695
0.875,0.1560550458715596,0.07347883113885714,0.24,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.2955801104972373
0.9583333333333428,0.4588073394495413,0.03880254217728816,0.4,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8276243093922653
0.9166666666666714,0.17440366972477062,0.2709929465275862,0.2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.5701657458563532
0.9166666666666714,0.203045871559633,0.10584149108042534,0.2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.380662983425414
0.9166666666666714,0.23862385321100915,0.06791148539486497,0.2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.2955801104972373
0.875,0.19275229357798163,0.11808514830305725,0.2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.7364640883977898
0.9166666666666714,0.3211743119266055,0.05066903846478611,0.4,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.2955801104972373
0.9166666666666714,0.3395229357798165,0.05048890189875199,0.30000000000000004,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.4734806629834252
0.9166666666666714,0.25511926605504587,0.07210528982284693,0.30000000000000004,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.678453038674033
0.9583333333333428,0.3211743119266055,0.058696374188681795,0.4,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.6729281767955801
0.9166666666666714,0.3009908256880734,0.08263202040046609,0.4,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.2955801104972373
0.875,0.1927339449541284,0.06994928029812601,0.2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.624309392265193
0.9583333333333428,0.22027522935779814,0.14365891141221437,0.2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.3381215469613257
0.9166666666666714,0.16521100917431192,0.11483143157906586,0.22000000000000003,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.3381215469613257
0.875,0.18357798165137612,0.14030949713751736,0.2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.7364640883977898
0.875,0.15596330275229356,0.147272901268274,0.2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.7364640883977898
0.75,0.15596330275229356,0.3321211643577287,0.4,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0480662983425413
0.75,0.11559633027522935,0.19870189087101658,0.2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.7364640883977898
0.875,0.330348623853211,0.07352949454805423,0.4,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.8005524861878452
0.9166666666666714,0.2074128440366972,0.1339709417201916,0.30000000000000004,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.8602209944751382
0.7916666666666714,0.1431926605504587,0.14598942823528085,0.2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.7364640883977898
0.9166666666666714,0.22025688073394492,0.048968999622839064,0.2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.4734806629834252
0.875,0.1505321100917431,0.14072606294647128,0.24,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.2955801104972373
0.8333333333333428,0.1376880733944954,0.34185979745894857,0.30000000000000004,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.2314917127071823
0.875,0.1558899082568807,0.10447920829979226,0.24,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.2955801104972373
0.9583333333333428,0.3393577981651376,0.04728021931626915,0.2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.5198895027624308
0.7083333333333428,0.1236880733944954,0.22004244467837178,0.2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.7364640883977898
0.9166666666666714,0.27141284403669724,0.18659896534059883,0.30000000000000004,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.4734806629834252
0.9583333333333428,0.3578899082568807,0.00012947315683702705,0.4,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.7364640883977898
1.0,0.3578899082568807,0.0031355021025314816,0.2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.2569060773480658
0.9583333333333428,0.3831743119266055,0.018340154129349313,0.4,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.7116022099447513
0.9166666666666714,0.17099082568807336,0.08499631282966398,0.2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.7364640883977898
0.9166666666666714,0.1424954128440367,0.14072606294647128,0.24,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.4270718232044197
