model,year,price,mileage,mpg,engineSize,Automatic,Manual,Semi-Auto,Diesel,Electric,Hybrid,Petrol
 Focus,2017,11298,17530,74.3,1.5,0,1,0,1,0,0,0
 Kuga,2019,19698,95,54.3,1.5,0,1,0,1,0,0,0
 Fiesta,2017,9998,17265,65.7,1.0,0,1,0,0,0,0,1
 Fiesta,2017,10200,11743,64.2,1.1,0,1,0,0,0,0,1
 Focus,2016,16998,16018,41.5,2.0,0,1,0,0,0,0,1
 Edge,2016,14998,77137,48.7,2.0,0,1,0,1,0,0,0
 Fiesta,2016,8640,21763,54.3,1.2,0,1,0,0,0,0,1
 C-MAX,2014,8367,36300,55.4,1.0,0,1,0,0,0,0,1
 Focus,2019,17530,7648,47.9,1.5,1,0,0,0,0,0,1
 Focus,2019,16920,4596,61.4,1.5,0,1,0,1,0,0,0
 Focus,2018,13691,12603,58.9,1.0,0,1,0,0,0,0,1
 Focus,2017,11750,8556,60.1,1.0,0,1,0,0,0,0,1
 Fiesta,2018,12250,8000,65.7,1.0,0,1,0,0,0,0,1
 Ka+,2017,8200,7616,57.7,1.2,0,1,0,0,0,0,1
 Focus,2017,10500,28244,74.3,1.5,0,1,0,1,0,0,0
 Fiesta,2016,8500,19116,54.3,1.2,0,1,0,0,0,0,1
 Fiesta,2018,11000,8468,65.7,1.0,0,1,0,0,0,0,1
 Fiesta,2018,10400,18515,65.7,1.0,0,1,0,0,0,0,1
 Fiesta,2018,14250,24038,60.1,1.0,0,1,0,0,0,0,1
 Fiesta,2017,8700,20785,65.7,1.0,0,1,0,0,0,0,1
 Kuga,2017,17498,8800,54.3,2.0,0,1,0,1,0,0,0
 Galaxy,2017,17998,34034,56.5,2.0,0,1,0,1,0,0,0
 Fiesta,2016,9998,14010,65.7,1.0,0,1,0,0,0,0,1
 C-MAX,2016,9698,62703,68.9,1.5,0,1,0,1,0,0,0
 Fiesta,2019,11498,9923,58.9,1.0,0,1,0,0,0,0,1
 B-MAX,2017,9698,13479,55.4,1.0,0,1,0,0,0,0,1
 Focus,2017,10498,17650,61.4,1.0,0,1,0,0,0,0,1
 C-MAX,2016,7498,51402,55.4,1.0,0,1,0,0,0,0,1
 EcoSport,2019,16798,1711,51.4,1.0,0,1,0,0,0,0,1
 Focus,2016,7998,69312,74.3,1.5,0,1,0,1,0,0,0
 Focus,2017,11698,8111,61.4,1.0,0,1,0,0,0,0,1
 Focus,2013,5498,67133,67.3,1.6,0,1,0,1,0,0,0
 Fiesta,2017,8998,14188,54.3,1.2,0,1,0,0,0,0,1
 Focus,2017,14998,39193,67.3,2.0,0,1,0,1,0,0,0
 Fiesta,2015,5998,33830,54.3,1.2,0,1,0,0,0,0,1
 EcoSport,2017,10498,21114,52.3,1.0,0,1,0,0,0,0,1
 Focus,2017,15498,37989,41.5,2.0,0,1,0,0,0,0,1
 Fiesta,2016,9698,29714,78.5,1.5,0,1,0,1,0,0,0
 Focus,2016,8298,49173,74.3,1.5,0,1,0,1,0,0,0
 Kuga,2017,16298,25623,60.1,2.0,0,1,0,1,0,0,0
 Focus,2015,7998,29331,83.1,1.5,0,1,0,1,0,0,0
 Fiesta,2016,7998,26295,65.7,1.0,0,1,0,0,0,0,1
 Fiesta,2017,8498,26052,54.3,1.2,0,1,0,0,0,0,1
 Fiesta,2018,10298,17672,65.7,1.0,0,1,0,0,0,0,1
 EcoSport,2018,13498,12495,54.3,1.0,0,1,0,0,0,0,1
 Fiesta,2013,5998,28514,54.3,1.2,0,1,0,0,0,0,1
 Fiesta,2016,7298,33524,78.5,1.5,0,1,0,1,0,0,0
 Kuga,2017,14998,15707,64.2,1.5,0,1,0,1,0,0,0
 Focus,2019,16937,18651,74.3,1.5,0,1,0,1,0,0,0
 Focus,2019,16491,18512,74.3,1.5,1,0,0,1,0,0,0
 Focus,2019,19000,7124,60.1,1.0,0,1,0,0,0,0,1
 Focus,2019,19050,4637,60.1,1.0,0,1,0,0,0,0,1
 Kuga,2017,12998,16733,64.2,1.5,0,1,0,1,0,0,0
 Fiesta,2018,10998,25169,56.5,1.0,0,1,0,0,0,0,1
 Fiesta,2017,8498,20253,54.3,1.2,0,1,0,0,0,0,1
 Fiesta,2017,10998,10829,65.7,1.0,0,1,0,0,0,0,1
 Focus,2019,13298,15320,60.1,1.0,0,1,0,0,0,0,1
 Focus,2019,14798,12848,50.4,1.0,1,0,0,0,0,0,1
 Kuga,2015,12998,37976,54.3,2.0,0,1,0,1,0,0,0
 Fiesta,2017,8798,26546,65.7,1.0,0,1,0,0,0,0,1
 C-MAX,2017,11698,10194,64.2,1.5,0,0,1,1,0,0,0
 Fiesta,2019,16040,1891,58.9,1.0,0,1,0,0,0,0,1
 Fiesta,2017,7591,27546,54.3,1.2,0,1,0,0,0,0,1
 Focus,2018,11691,13159,61.4,1.0,0,1,0,0,0,0,1
 Focus,2019,17050,3891,74.3,1.5,0,1,0,1,0,0,0
 Fiesta,2016,9998,33254,62.8,1.0,0,1,0,0,0,0,1
 Focus,2018,18998,11339,67.3,2.0,0,1,0,1,0,0,0
 Focus,2015,7998,46010,67.3,1.6,0,1,0,1,0,0,0
 Fiesta,2014,5298,52950,54.3,1.2,0,1,0,0,0,0,1
 Fiesta,2016,8698,38830,65.7,1.0,0,1,0,0,0,0,1
 Focus,2013,8798,63921,39.2,2.0,0,1,0,0,0,0,1
 Focus,2017,15298,16480,67.3,2.0,0,1,0,1,0,0,0
 Focus,2017,11998,25950,74.3,1.5,0,1,0,1,0,0,0
 Edge,2017,20698,17381,47.9,2.0,0,1,0,1,0,0,0
 C-MAX,2017,10698,17020,55.4,1.0,0,1,0,0,0,0,1
 Fiesta,2017,10710,12874,54.3,1.0,1,0,0,0,0,0,1
 Focus,2017,11591,7612,61.4,1.0,0,1,0,0,0,0,1
 Ka+,2018,7570,14604,57.7,1.2,0,1,0,0,0,0,1
 Focus,2018,11460,21742,61.4,1.0,0,1,0,0,0,0,1
 Fiesta,2018,8940,6310,64.2,1.1,0,1,0,0,0,0,1
 EcoSport,2018,12460,22907,54.3,1.0,0,1,0,0,0,0,1
 Focus,2017,10620,18385,74.3,1.5,0,1,0,1,0,0,0
 Fiesta,2014,6680,39123,76.4,1.5,0,1,0,1,0,0,0
 C-MAX,2017,11140,15295,55.4,1.0,0,1,0,0,0,0,1
 Kuga,2017,12720,33503,54.3,2.0,0,1,0,1,0,0,0
 Focus,2019,16298,14057,49.6,1.0,0,1,0,0,0,0,1
 Kuga,2019,19680,15241,47.9,2.0,0,1,0,1,0,0,0
 Ka+,2018,8591,13319,48.7,1.2,0,1,0,0,0,0,1
 Focus,2019,14490,6384,58.9,1.0,0,1,0,0,0,0,1
 Focus,2019,14530,4398,58.9,1.0,0,1,0,0,0,0,1
 Focus,2019,14590,3648,58.9,1.0,0,1,0,0,0,0,1
 Fiesta,2013,6570,33026,54.3,1.2,0,1,0,0,0,0,1
 Focus,2015,8990,34998,74.3,1.5,0,1,0,1,0,0,0
 Focus,2017,12240,15540,46.3,1.5,1,0,0,0,0,0,1
 Edge,2017,22250,7721,48.7,2.0,0,1,0,1,0,0,0
 Fiesta,2017,8791,34617,64.2,1.1,0,1,0,0,0,0,1
 Focus,2016,8080,57894,74.3,1.5,0,1,0,1,0,0,0
 Fiesta,2016,8240,30152,62.8,1.0,0,1,0,0,0,0,1
 Focus,2018,14891,14115,74.3,1.5,0,1,0,1,0,0,0
 Fiesta,2019,13120,1327,48.7,1.1,0,1,0,0,0,0,1
 Focus,2019,17390,3392,60.1,1.0,0,1,0,0,0,0,1
 Focus,2019,19070,4165,60.1,1.0,0,1,0,0,0,0,1
 Focus,2019,17380,4052,60.1,1.0,0,1,0,0,0,0,1
 Focus,2019,17490,944,60.1,1.0,0,1,0,0,0,0,1
 Focus,2015,8559,55601,74.3,1.5,0,1,0,1,0,0,0
 Fiesta,2014,6391,43904,54.3,1.2,0,1,0,0,0,0,1
 Fiesta,2017,10917,8323,54.3,1.0,1,0,0,0,0,0,1
 EcoSport,2019,16800,4586,51.4,1.0,0,1,0,0,0,0,1
 Kuga,2019,19491,3114,47.9,2.0,0,1,0,1,0,0,0
 Edge,2017,19557,24271,48.7,2.0,0,1,0,1,0,0,0
 Fiesta,2017,8291,23080,54.3,1.2,0,1,0,0,0,0,1
 Focus,2018,14691,16364,57.7,1.0,0,1,0,0,0,0,1
 Ka+,2019,9790,5588,43.5,1.2,0,1,0,0,0,0,1
 Focus,2019,16090,13696,62.8,1.5,0,1,0,1,0,0,0
 Fiesta,2017,10210,5146,65.7,1.0,0,1,0,0,0,0,1
 Fiesta,2018,8770,7340,64.2,1.1,0,1,0,0,0,0,1
 Fiesta,2018,12460,5759,54.3,1.0,0,0,1,0,0,0,1
 Kuga,2018,13210,10945,64.2,1.5,0,1,0,1,0,0,0
 Focus,2017,11591,11055,60.1,1.0,0,1,0,0,0,0,1
 Ka+,2018,8690,12696,48.7,1.2,0,1,0,0,0,0,1
 EcoSport,2019,15990,2339,53.3,1.0,0,1,0,0,0,0,1
 Ka+,2017,7491,18084,57.7,1.2,0,1,0,0,0,0,1
 Fiesta,2018,10291,8340,65.7,1.0,0,1,0,0,0,0,1
 Focus,2018,10700,22749,60.1,1.0,0,1,0,0,0,0,1
 Fiesta,2018,10100,10748,65.7,1.0,0,1,0,0,0,0,1
 Kuga,2019,23965,3489,37.7,2.0,0,1,0,1,0,0,0
 Focus,2017,9891,24065,61.4,1.0,0,1,0,0,0,0,1
 Ka+,2018,8191,8001,57.7,1.2,0,1,0,0,0,0,1
 Puma,2020,20991,891,50.4,1.0,0,1,0,0,0,0,1
 Focus,2020,18991,905,60.1,1.0,0,1,0,0,0,0,1
 Kuga,2017,13991,18874,58.9,1.5,0,0,1,1,0,0,0
 Ka+,2018,7891,12159,57.7,1.2,0,1,0,0,0,0,1
 Fiesta,2018,11200,11550,65.7,1.0,0,1,0,0,0,0,1
 Focus,2018,12000,18952,74.3,1.5,0,1,0,1,0,0,0
 Focus,2015,13838,26201,41.5,2.0,0,1,0,0,0,0,1
 Fiesta,2019,16591,2913,60.1,1.0,0,1,0,0,0,0,1
 Fiesta,2019,16491,898,60.1,1.0,0,1,0,0,0,0,1
 Focus,2019,18420,6479,57.6,2.0,0,1,0,1,0,0,0
 Focus,2019,17900,9504,57.7,1.5,0,1,0,1,0,0,0
 Focus,2019,17350,4539,61.4,1.5,0,1,0,1,0,0,0
 Kuga,2018,17401,23995,47.9,2.0,0,0,1,1,0,0,0
 Focus,2015,9991,28351,74.3,1.5,0,1,0,1,0,0,0
 Galaxy,2016,15870,34145,52.3,2.0,0,0,1,1,0,0,0
 Fiesta,2015,6590,25737,54.3,1.2,0,1,0,0,0,0,1
 C-MAX,2013,8298,39632,55.4,1.0,0,1,0,0,0,0,1
 Focus,2016,8798,43101,74.3,1.5,0,1,0,1,0,0,0
 Fiesta,2015,7298,31387,54.3,1.2,0,1,0,0,0,0,1
 Fiesta,2014,8498,26276,65.7,1.0,0,1,0,0,0,0,1
 Fiesta,2017,14070,13106,47.9,1.6,0,1,0,0,0,0,1
 Focus,2016,10300,21117,60.1,1.0,0,1,0,0,0,0,1
 Fiesta,2017,10191,19068,65.7,1.0,0,1,0,0,0,0,1
 Focus,2018,18520,11958,41.5,2.0,0,1,0,0,0,0,1
 Ka+,2017,8330,11531,57.7,1.2,0,1,0,0,0,0,1
 B-MAX,2017,8891,20226,74.4,1.5,0,1,0,1,0,0,0
 Fiesta,2019,16150,1952,48.7,1.0,0,0,1,0,0,0,1
 Focus,2019,17520,1987,60.1,1.0,0,1,0,0,0,0,1
 Focus,2019,17000,4920,80.7,1.5,0,1,0,1,0,0,0
 Focus,2019,17520,5000,60.1,1.0,0,1,0,0,0,0,1
 Focus,2019,17520,3214,60.1,1.0,0,1,0,0,0,0,1
 Fiesta,2015,6791,40206,54.3,1.2,0,1,0,0,0,0,1
 Kuga,2015,9827,58837,60.1,2.0,0,1,0,1,0,0,0
 Fiesta,2014,7698,23576,65.7,1.0,0,1,0,0,0,0,1
 Kuga,2017,14998,15389,64.2,1.5,0,1,0,1,0,0,0
 Fiesta,2017,11998,9177,62.8,1.0,0,1,0,0,0,0,1
 Puma,2019,19750,110,50.4,1.0,0,1,0,0,0,0,1
 Fiesta,2020,15750,52,54.3,1.0,0,1,0,0,0,0,1
 EcoSport,2016,9400,29264,53.3,1.0,0,1,0,0,0,0,1
 Focus,2019,16400,8664,60.1,1.0,0,1,0,0,0,0,1
 Kuga,2019,23200,2017,37.7,2.0,0,1,0,1,0,0,0
 EcoSport,2019,17700,618,51.4,1.0,0,1,0,0,0,0,1
 Fiesta,2018,10250,5220,64.2,1.1,0,1,0,0,0,0,1
 Fiesta,2017,10800,17465,65.7,1.0,0,1,0,0,0,0,1
 Edge,2017,20498,17399,48.7,2.0,0,1,0,1,0,0,0
 Focus,2019,16998,21480,60.1,1.0,0,1,0,0,0,0,1
 Fiesta,2018,9298,19448,64.2,1.1,0,1,0,0,0,0,1
 Focus,2019,16298,12029,41.5,1.0,1,0,0,0,0,0,1
 Fiesta,2016,9298,18502,65.7,1.0,0,1,0,0,0,0,1
 Focus,2019,16000,6238,60.1,1.0,0,1,0,0,0,0,1
 Fiesta,2018,9900,14825,64.2,1.1,0,1,0,0,0,0,1
 Ka+,2019,10600,1802,47.9,1.2,0,1,0,0,0,0,1
 Kuga,2019,20590,7580,39.2,2.0,0,1,0,1,0,0,0
 Focus,2019,19741,6750,74.3,1.5,1,0,0,1,0,0,0
 Focus,2017,9470,30493,74.3,1.5,0,1,0,1,0,0,0
 Focus,2019,19498,6621,64.2,2.0,1,0,0,1,0,0,0
 Fiesta,2013,6698,28685,54.3,1.2,0,1,0,0,0,0,1
 Fiesta,2016,7780,37981,65.7,1.0,0,1,0,0,0,0,1
 Fiesta,2018,9720,22038,65.7,1.0,0,1,0,0,0,0,1
 Fiesta,2018,8691,12251,64.2,1.1,0,1,0,0,0,0,1
 Fiesta,2013,6150,51341,65.7,1.0,0,1,0,0,0,0,1
 Fiesta,2014,6880,25180,54.3,1.2,0,1,0,0,0,0,1
 Focus,2017,9347,35013,74.3,1.5,0,1,0,1,0,0,0
 Fiesta,2019,14990,6591,55.4,1.0,0,1,0,0,0,0,1
 KA,2015,5560,23593,57.7,1.2,0,1,0,0,0,0,1
 Focus,2014,8390,18680,67.3,1.6,0,1,0,1,0,0,0
 Fiesta,2017,9691,11377,64.2,1.1,0,1,0,0,0,0,1
 Focus,2017,10200,27353,60.1,1.0,0,1,0,0,0,0,1
 Fiesta,2018,10000,11377,64.2,1.1,0,1,0,0,0,0,1
 Fiesta,2018,14500,5223,58.9,1.0,0,1,0,0,0,0,1
 EcoSport,2017,9700,20771,52.3,1.0,0,1,0,0,0,0,1
 Kuga,2017,14750,20855,60.1,2.0,0,1,0,1,0,0,0
 Fiesta,2013,6750,16072,54.3,1.2,0,1,0,0,0,0,1
 EcoSport,2017,10000,17331,44.8,1.5,0,1,0,0,0,0,1
 Focus,2017,10800,35629,60.1,1.0,0,1,0,0,0,0,1
 Kuga,2017,13666,22164,64.2,1.5,0,1,0,1,0,0,0
 EcoSport,2018,11746,9152,54.3,1.0,0,1,0,0,0,0,1
 Fiesta,2018,12991,21528,61.4,1.0,0,1,0,0,0,0,1
 Fiesta,2019,15500,4551,60.1,1.0,0,1,0,0,0,0,1
 Fiesta,2017,9240,27667,64.2,1.1,0,1,0,0,0,0,1
 Focus,2018,13567,7756,74.3,1.5,0,1,0,1,0,0,0
 Focus,2019,15351,13064,58.9,1.0,0,1,0,0,0,0,1
 Focus,2019,15151,13591,58.9,1.0,0,1,0,0,0,0,1
 Fiesta,2016,7498,10892,54.3,1.2,0,1,0,0,0,0,1
 Kuga,2017,11998,34577,64.2,1.5,0,1,0,1,0,0,0
 Focus,2016,14795,26000,67.3,2.0,0,1,0,1,0,0,0
 Fiesta,2013,5995,42400,65.7,1.0,0,1,0,0,0,0,1
 C-MAX,2016,8995,56000,68.9,1.5,0,1,0,1,0,0,0
 Fiesta,2016,10890,24954,47.9,1.6,0,1,0,0,0,0,1
 Focus,2015,7120,56561,74.3,1.5,0,1,0,1,0,0,0
 Fiesta,2014,6891,35009,54.3,1.2,0,1,0,0,0,0,1
 Fiesta,2015,9200,34808,57.7,1.0,0,0,1,0,0,0,1
 Focus,2016,11070,17975,74.3,1.5,0,1,0,1,0,0,0
 Fiesta,2016,11057,14644,78.5,1.5,0,1,0,1,0,0,0
 Kuga,2017,12591,32590,64.2,1.5,0,1,0,1,0,0,0
 Fiesta,2018,9491,16517,64.2,1.1,0,1,0,0,0,0,1
 Fiesta,2018,9791,8600,64.2,1.1,0,1,0,0,0,0,1
 Fiesta,2013,5625,34049,54.3,1.2,0,1,0,0,0,0,1
 Focus,2017,12591,11627,60.1,1.0,0,1,0,0,0,0,1
 Fiesta,2019,12610,13589,56.5,1.0,0,1,0,0,0,0,1
 Ka+,2019,10500,3081,47.9,1.2,0,1,0,0,0,0,1
 Focus,2016,9691,17915,61.4,1.0,0,1,0,0,0,0,1
 Ka+,2018,8491,3482,57.7,1.2,0,1,0,0,0,0,1
 Focus,2019,19990,5796,47.9,1.5,1,0,0,1,0,0,0
 B-MAX,2016,6710,51016,47.1,1.4,0,1,0,0,0,0,1
 Kuga,2017,16230,15837,54.3,2.0,0,1,0,1,0,0,0
 Focus,2019,17620,9014,51.4,1.0,1,0,0,0,0,0,1
 Fiesta,2015,6475,42716,65.7,1.0,0,1,0,0,0,0,1
 B-MAX,2018,10660,9065,55.4,1.0,0,1,0,0,0,0,1
 Focus,2017,11991,23161,74.3,1.5,0,1,0,1,0,0,0
 Focus,2014,6600,45623,56.5,1.0,0,1,0,0,0,0,1
 Kuga,2018,18498,8924,60.1,2.0,0,1,0,1,0,0,0
 Fiesta,2015,6998,32775,54.3,1.2,0,1,0,0,0,0,1
 Fiesta,2016,9498,10963,65.7,1.0,0,1,0,0,0,0,1
 Focus,2015,9495,18683,44.8,1.6,0,0,1,0,0,0,1
 KA,2015,4745,17328,57.7,1.2,0,1,0,0,0,0,1
 Fiesta,2016,6495,15083,54.3,1.2,0,1,0,0,0,0,1
 Fiesta,2016,8298,19062,54.3,1.2,0,1,0,0,0,0,1
 Fiesta,2016,8698,10697,65.7,1.0,0,1,0,0,0,0,1
 Ka+,2017,6450,40068,57.7,1.2,0,1,0,0,0,0,1
 Fiesta,2013,5720,31998,54.3,1.2,0,1,0,0,0,0,1
 Focus,2015,14740,31685,67.3,2.0,0,1,0,1,0,0,0
 Kuga,2016,12161,37099,60.1,2.0,0,1,0,1,0,0,0
 Focus,2019,21350,2314,39.2,1.5,1,0,0,0,0,0,1
 Focus,2016,12500,48876,67.3,2.0,0,1,0,1,0,0,0
 Fiesta,2017,9300,29885,65.7,1.0,0,1,0,0,0,0,1
 EcoSport,2018,15200,9892,51.4,1.0,0,1,0,0,0,0,1
 EcoSport,2018,14500,17252,51.4,1.0,0,1,0,0,0,0,1
 Kuga,2015,13351,25000,54.3,2.0,0,1,0,1,0,0,0
 Focus,2015,7960,20188,74.3,1.5,0,1,0,1,0,0,0
 Fiesta,2013,5570,52290,76.4,1.5,0,1,0,1,0,0,0
 Focus,2015,8763,47799,74.3,1.5,0,1,0,1,0,0,0
 Focus,2019,19000,3756,60.1,1.0,0,1,0,0,0,0,1
 Focus,2017,11700,18587,70.6,2.0,0,1,0,1,0,0,0
 Focus,2017,9350,28880,60.1,1.0,0,1,0,0,0,0,1
 Ka+,2018,8521,5570,57.7,1.2,0,1,0,0,0,0,1
 C-MAX,2014,6041,55152,61.4,1.6,0,1,0,1,0,0,0
 Focus,2017,12430,35050,74.3,1.5,0,1,0,1,0,0,0
 Fiesta,2018,10291,8324,64.2,1.1,0,1,0,0,0,0,1
 Fiesta,2013,5820,46191,54.3,1.2,0,1,0,0,0,0,1
 Fiesta,2017,9280,10599,64.2,1.1,0,1,0,0,0,0,1
 Fiesta,2018,11750,13278,62.8,1.0,0,1,0,0,0,0,1
 Fiesta,2014,6180,26105,54.3,1.2,0,1,0,0,0,0,1
 Fiesta,2019,15500,5248,56.5,1.0,0,1,0,0,0,0,1
 C-MAX,2016,7787,50656,44.1,1.6,0,1,0,0,0,0,1
 Kuga,2018,17998,15575,39.2,2.0,0,1,0,1,0,0,0
 Fiesta,2013,6998,13603,54.3,1.2,0,1,0,0,0,0,1
 Kuga,2017,14698,24799,38.2,1.5,1,0,0,0,0,0,1
 Fiesta,2015,6798,38271,54.3,1.2,0,1,0,0,0,0,1
 Kuga,2017,14698,25614,38.2,1.5,1,0,0,0,0,0,1
 Fiesta,2017,8900,19937,64.2,1.1,0,1,0,0,0,0,1
 Fiesta,2018,9200,21000,65.7,1.0,0,1,0,0,0,0,1
 Fiesta,2018,11900,9080,62.8,1.0,0,1,0,0,0,0,1
 Fiesta,2015,7750,24000,65.7,1.0,0,1,0,0,0,0,1
 Fiesta,2018,13830,12963,54.3,1.0,0,0,1,0,0,0,1
 Kuga,2017,15400,14850,60.1,2.0,0,1,0,1,0,0,0
 Fiesta,2018,10750,5723,65.7,1.0,0,1,0,0,0,0,1
 EcoSport,2018,13750,12932,54.3,1.0,0,1,0,0,0,0,1
 Fiesta,2017,9850,16600,64.2,1.1,0,1,0,0,0,0,1
 Puma,2019,21700,127,50.4,1.0,0,1,0,0,0,0,1
 Fiesta,2018,10700,3329,65.7,1.0,0,1,0,0,0,0,1
 EcoSport,2019,16100,5673,52.3,1.0,0,1,0,0,0,0,1
 Fiesta,2018,10200,12700,64.2,1.1,0,1,0,0,0,0,1
 Focus,2019,15150,9567,58.9,1.0,0,1,0,0,0,0,1
 Fiesta,2013,6000,34583,54.3,1.2,0,1,0,0,0,0,1
 Focus,2015,8170,42293,74.3,1.5,0,1,0,1,0,0,0
 Kuga,2018,15991,13701,64.2,1.5,0,1,0,1,0,0,0
 Fiesta,2018,8190,44653,64.2,1.1,0,1,0,0,0,0,1
 Focus,2019,15300,12250,60.1,1.0,0,1,0,0,0,0,1
 Focus,2019,15590,6,60.1,1.0,0,1,0,0,0,0,1
 Fiesta,2016,8250,37000,78.5,1.5,0,1,0,1,0,0,0
 Focus,2016,8600,42294,60.1,1.0,0,1,0,0,0,0,1
 Fiesta,2017,11200,12380,65.7,1.0,0,1,0,0,0,0,1
 Fiesta,2017,9200,17199,65.7,1.0,0,1,0,0,0,0,1
 Kuga,2017,15000,6591,64.2,1.5,0,1,0,1,0,0,0
 Kuga,2018,15998,4015,45.6,1.5,0,1,0,0,0,0,1
 EcoSport,2019,16998,1091,51.4,1.0,0,1,0,0,0,0,1
 C-MAX,2017,11498,21056,68.9,1.5,0,1,0,1,0,0,0
 Focus,2015,8498,46668,74.3,1.5,0,1,0,1,0,0,0
 Focus,2017,11298,29492,74.3,1.5,0,1,0,1,0,0,0
 Focus,2018,17989,19653,41.5,2.0,0,1,0,0,0,0,1
 Fiesta,2017,7495,18795,54.3,1.2,0,1,0,0,0,0,1
 Fiesta,2017,9495,23364,65.7,1.0,0,1,0,0,0,0,1
 C-MAX,2017,8690,31938,68.9,1.5,0,1,0,1,0,0,0
 C-MAX,2014,7591,39549,61.4,1.6,0,1,0,1,0,0,0
 Focus,2016,13490,35802,41.5,2.0,0,1,0,0,0,0,1
 Ka+,2018,8311,11128,57.7,1.2,0,1,0,0,0,0,1
 Focus,2018,18760,12935,41.5,2.0,0,1,0,0,0,0,1
 Ka+,2018,7830,14782,57.7,1.2,0,1,0,0,0,0,1
 Fiesta,2016,8071,13755,54.3,1.2,0,1,0,0,0,0,1
 EcoSport,2017,9480,15258,64.2,1.5,0,1,0,1,0,0,0
 Fiesta,2017,8090,13048,54.3,1.2,0,1,0,0,0,0,1
 Focus,2019,17520,6852,60.1,1.0,0,1,0,0,0,0,1
 Fiesta,2015,7450,16806,65.7,1.0,0,1,0,0,0,0,1
 Kuga,2017,12195,50600,60.1,2.0,0,1,0,1,0,0,0
 C-MAX,2017,8295,62988,68.9,1.5,0,1,0,1,0,0,0
 Fiesta,2016,8990,12600,47.9,1.6,0,0,1,0,0,0,1
 Fiesta,2016,7495,40161,65.7,1.0,0,1,0,0,0,0,1
 Ka+,2017,7495,10016,57.7,1.2,0,1,0,0,0,0,1
 Focus,2017,10298,20536,60.1,1.0,0,1,0,0,0,0,1
 Fiesta,2019,19998,3361,40.3,1.5,0,1,0,0,0,0,1
 Fiesta,2019,14998,4490,60.1,1.0,0,1,0,0,0,0,1
 Focus,2017,18798,17691,41.5,2.0,0,1,0,0,0,0,1
 Fiesta,2016,7298,36228,54.3,1.2,0,1,0,0,0,0,1
 Fiesta,2017,8998,17164,65.7,1.0,0,1,0,0,0,0,1
 Fiesta,2015,7698,24015,54.3,1.2,0,1,0,0,0,0,1
 Fiesta,2013,5698,60351,54.3,1.2,0,1,0,0,0,0,1
 Kuga,2018,17998,4226,39.2,1.5,0,1,0,0,0,0,1
 Fiesta,2018,9395,19000,64.2,1.1,0,1,0,0,0,0,1
 Fiesta,2018,10695,8151,58.9,1.0,0,1,0,0,0,0,1
 Focus,2019,16975,290,60.1,1.0,0,1,0,0,0,0,1
 Fiesta,2015,6895,51621,54.3,1.2,0,1,0,0,0,0,1
 Focus,2015,8295,43636,74.3,1.5,0,1,0,1,0,0,0
 Fiesta,2018,10490,25174,65.7,1.0,0,1,0,0,0,0,1
 Focus,2017,9995,39414,74.3,1.5,0,1,0,1,0,0,0
 Focus,2018,17989,19653,41.5,2.0,0,1,0,0,0,0,1
 Kuga,2014,8940,65000,47.9,2.0,0,1,0,1,0,0,0
 Fiesta,2013,6485,78000,76.4,1.5,0,1,0,1,0,0,0
 Fiesta,2016,7698,23039,54.3,1.2,0,1,0,0,0,0,1
 EcoSport,2017,10698,15033,44.8,1.5,0,0,1,0,0,0,1
 Fiesta,2016,7995,26863,65.7,1.0,0,1,0,0,0,0,1
 Fiesta,2019,14990,7350,48.7,1.0,0,0,1,0,0,0,1
 Focus,2019,17691,11982,49.6,1.0,0,1,0,0,0,0,1
 C-MAX,2017,10291,29000,68.9,1.5,0,1,0,1,0,0,0
 EcoSport,2019,16630,3128,51.4,1.0,0,1,0,0,0,0,1
 Fiesta,2017,8110,8801,54.3,1.2,0,1,0,0,0,0,1
 Fiesta,2014,6600,42112,54.3,1.2,0,1,0,0,0,0,1
 EcoSport,2015,7150,35901,44.8,1.5,0,1,0,0,0,0,1
 Focus,2019,15440,5800,60.1,1.0,0,1,0,0,0,0,1
 B-MAX,2017,8980,22522,74.3,1.5,0,1,0,1,0,0,0
 EcoSport,2017,9991,19576,53.3,1.0,0,1,0,0,0,0,1
 Ka+,2017,7691,21512,57.7,1.2,0,1,0,0,0,0,1
 Ka+,2017,7491,7000,57.7,1.2,0,1,0,0,0,0,1
 EcoSport,2017,8991,30267,44.8,1.5,0,1,0,0,0,0,1
 Ka+,2019,8491,17363,47.9,1.2,0,1,0,0,0,0,1
 Fiesta,2017,9491,22571,65.7,1.0,0,1,0,0,0,0,1
 EcoSport,2018,12570,24479,54.3,1.0,0,1,0,0,0,0,1
 Focus,2018,10991,14000,60.1,1.0,0,1,0,0,0,0,1
 Ka+,2017,6800,29000,57.7,1.2,0,1,0,0,0,0,1
 Ka+,2017,7490,14000,57.7,1.2,0,1,0,0,0,0,1
 Ka+,2017,7990,11630,57.7,1.2,0,1,0,0,0,0,1
 Fiesta,2013,6380,56725,65.7,1.0,0,1,0,0,0,0,1
 Focus,2015,8150,44048,74.3,1.5,0,1,0,1,0,0,0
 Fiesta,2016,7660,18839,54.3,1.2,0,1,0,0,0,0,1
 Focus,2017,9067,31967,74.3,1.5,0,1,0,1,0,0,0
 Focus,2018,10200,19450,60.1,1.0,0,1,0,0,0,0,1
 Fiesta,2017,7991,25316,54.3,1.2,0,1,0,0,0,0,1
