model,year,price,mileage,mpg,engineSize,Automatic,Manual,Semi-Auto,Diesel,Electric,Hybrid,Petrol
 Fiesta,2019,13498,15822,58.9,1.0,0,1,0,0,0,0,1
 Fiesta,2019,13498,10557,58.9,1.0,0,1,0,0,0,0,1
 Focus,2016,9698,20786,61.4,1.0,0,1,0,0,0,0,1
 Focus,2016,24995,7997,36.7,2.3,0,1,0,0,0,0,1
 Fiesta,2017,9895,19079,65.7,1.0,0,1,0,0,0,0,1
 Fiesta,2018,12995,14979,58.9,1.0,0,1,0,0,0,0,1
 Fiesta,2016,8495,24410,54.3,1.2,0,1,0,0,0,0,1
 Fiesta,2019,13895,13600,58.9,1.0,0,1,0,0,0,0,1
 Focus,2018,18298,21456,67.3,2.0,0,1,0,1,0,0,0
 Focus,2015,9198,31512,74.3,1.5,0,1,0,1,0,0,0
 Fiesta,2016,10798,11843,65.7,1.0,0,1,0,0,0,0,1
 Fiesta,2016,8998,31373,65.7,1.0,0,1,0,0,0,0,1
 Kuga,2018,18498,7796,54.3,1.5,0,1,0,1,0,0,0
 Kuga,2017,13498,26597,54.3,2.0,0,1,0,1,0,0,0
 Kuga,2017,14998,15978,64.2,1.5,0,1,0,1,0,0,0
 Kuga,2017,13998,13265,38.2,1.5,1,0,0,0,0,0,1
 EcoSport,2016,9998,20491,52.3,1.0,0,1,0,0,0,0,1
 Focus,2017,17698,14557,41.5,2.0,0,1,0,0,0,0,1
 Focus,2017,11498,30917,51.4,1.0,0,0,1,0,0,0,1
 Focus,2017,12798,22153,74.3,1.5,0,1,0,1,0,0,0
 C-MAX,2015,8698,31743,55.4,1.0,0,1,0,0,0,0,1
 Kuga,2019,19495,13673,47.9,2.0,0,1,0,1,0,0,0
 Fiesta,2018,9995,25776,65.7,1.0,0,1,0,0,0,0,1
 Focus,2016,10995,30923,74.3,1.5,0,1,0,1,0,0,0
 Kuga,2017,13998,24504,64.2,1.5,0,1,0,1,0,0,0
 Fiesta,2017,11998,6568,62.8,1.0,0,1,0,0,0,0,1
 Kuga,2018,16698,5117,54.3,1.5,0,1,0,1,0,0,0
 EcoSport,2016,8998,31736,53.3,1.0,0,1,0,0,0,0,1
 Fiesta,2015,7998,19212,65.7,1.0,0,1,0,0,0,0,1
 Fiesta,2018,12495,12426,65.7,1.0,0,1,0,0,0,0,1
 Ka+,2017,7995,12872,57.7,1.2,0,1,0,0,0,0,1
 Puma,2020,21995,4111,50.4,1.0,0,1,0,0,0,0,1
 Kuga,2018,16995,34690,60.1,2.0,0,1,0,1,0,0,0
 Fiesta,2018,11995,32168,65.7,1.0,0,1,0,0,0,0,1
 Kuga,2019,19995,11312,47.9,2.0,0,1,0,1,0,0,0
 Fiesta,2017,8995,31559,65.7,1.0,0,1,0,0,0,0,1
 Ka+,2017,8295,23000,57.7,1.2,0,1,0,0,0,0,1
 EcoSport,2018,14698,6442,54.3,1.0,0,1,0,0,0,0,1
 Fiesta,2016,10498,29590,57.7,1.0,0,0,1,0,0,0,1
 Focus,2018,14495,17030,57.7,1.0,0,1,0,0,0,0,1
 Focus,2016,8995,22493,60.1,1.0,0,1,0,0,0,0,1
 Focus,2016,15995,29600,67.3,2.0,0,1,0,1,0,0,0
 C-MAX,2016,10995,26500,58.9,2.0,0,0,1,1,0,0,0
 C-MAX,2013,8295,34783,61.4,1.6,0,1,0,1,0,0,0
 Focus,2015,7995,56655,67.3,1.6,0,1,0,1,0,0,0
 Kuga,2019,19995,16000,47.9,2.0,0,1,0,1,0,0,0
 C-MAX,2017,12995,7817,55.4,1.0,0,1,0,0,0,0,1
 Focus,2018,12995,9781,60.1,1.0,0,1,0,0,0,0,1
 EcoSport,2018,12998,17241,54.3,1.0,0,1,0,0,0,0,1
 Fiesta,2017,10498,50599,65.7,1.0,0,1,0,0,0,0,1
 Focus,2018,11298,37880,74.3,1.5,0,0,1,1,0,0,0
 Kuga,2016,10698,56888,60.1,2.0,0,1,0,1,0,0,0
 Focus,2018,15995,10500,60.1,1.0,0,1,0,0,0,0,1
 B-MAX,2014,6995,50800,44.1,1.6,0,0,1,0,0,0,1
 Fiesta,2019,13950,6700,58.9,1.0,0,1,0,0,0,0,1
 Fiesta,2017,10650,31800,65.7,1.0,0,1,0,0,0,0,1
 Fiesta,2016,7995,20700,54.3,1.2,0,1,0,0,0,0,1
 Focus,2016,11495,29900,74.3,1.5,0,1,0,1,0,0,0
 Kuga,2018,16995,32858,54.3,2.0,0,1,0,1,0,0,0
 Fiesta,2018,11995,31593,65.7,1.0,0,1,0,0,0,0,1
 Focus,2015,10995,13791,51.4,1.5,0,1,0,0,0,0,1
 Kuga,2019,20495,12034,47.9,2.0,0,1,0,1,0,0,0
 Focus,2018,19995,10923,67.3,2.0,0,1,0,1,0,0,0
 Kuga,2019,19995,10171,38.2,2.0,0,1,0,1,0,0,0
 Focus,2016,10995,30923,74.3,1.5,0,1,0,1,0,0,0
 EcoSport,2019,18995,2291,52.3,1.0,0,1,0,0,0,0,1
 Focus,2017,11995,23469,51.4,1.5,0,1,0,0,0,0,1
 Kuga,2017,16998,13626,60.1,2.0,0,1,0,1,0,0,0
 Fiesta,2016,7398,35180,54.3,1.2,0,1,0,0,0,0,1
 Fiesta,2019,11498,17708,58.9,1.0,0,1,0,0,0,0,1
 Fiesta,2019,13998,9957,58.9,1.0,0,1,0,0,0,0,1
 Focus,2019,16698,4542,60.1,1.0,0,1,0,0,0,0,1
 Focus,2015,12998,25878,67.3,2.0,0,1,0,1,0,0,0
 EcoSport,2016,9998,18325,44.8,1.5,0,0,1,0,0,0,1
 Focus,2017,12498,9338,60.1,1.0,0,1,0,0,0,0,1
 EcoSport,2018,14998,7133,58.9,1.5,0,1,0,1,0,0,0
 Focus,2017,10498,42002,60.1,1.0,0,1,0,0,0,0,1
 Kuga,2017,16995,3700,38.2,1.5,1,0,0,0,0,0,1
 Focus,2019,15495,5600,60.1,1.0,0,1,0,0,0,0,1
 Fiesta,2015,9495,17288,65.7,1.0,0,1,0,0,0,0,1
 B-MAX,2013,5995,42996,70.6,1.6,0,1,0,1,0,0,0
 Focus,2014,7498,47566,56.5,1.0,0,1,0,0,0,0,1
 Fiesta,2017,11798,4262,65.7,1.0,0,1,0,0,0,0,1
 Fiesta,2017,10998,10125,65.7,1.0,0,1,0,0,0,0,1
 Focus,2017,14998,17028,46.3,1.5,1,0,0,0,0,0,1
 Fiesta,2017,8998,12753,54.3,1.2,0,1,0,0,0,0,1
 Focus,2016,13998,24895,67.3,2.0,0,1,0,1,0,0,0
 Focus,2017,17998,9066,41.5,2.0,0,1,0,0,0,0,1
 Fiesta,2019,18998,3292,40.3,1.5,0,1,0,0,0,0,1
 Kuga,2013,9198,48130,45.6,2.0,0,0,1,1,0,0,0
 Kuga,2015,14498,27513,54.3,2.0,0,1,0,1,0,0,0
 Focus,2017,14998,32511,41.5,2.0,0,1,0,0,0,0,1
 Fiesta,2016,8498,21888,54.3,1.2,0,1,0,0,0,0,1
 Fiesta,2019,13995,11130,58.9,1.0,0,1,0,0,0,0,1
